name,state
Uttarakhand Open University,Uttarakhand
Uttarakhand Sanskrit University,Uttarakhand
Uttarakhand Technical University,Uttarakhand
G.B.Pant University of Agriculture & Technology,Uttarakhand
Doon University,Uttarakhand
Kumaun University,Uttarakhand
Soban Singh Jeena University,Uttarakhand
Uttarakhand Aawasiya Viswavidyalaya,Uttarakhand
The Sanskrit College and University,West Bengal
Cooch Behar Panchanan Barma University,West Bengal
Diamond Harbour Women's University,West Bengal
Bankura University,West Bengal
"West Bengal University of Teachers, Training, Education Planning and Administration",West Bengal
Raiganj University,West Bengal
Rani Rashmoni Green University(formerly West Bengal Green University.),West Bengal
Murshidabad University,West Bengal
Sadhu Ram Chand Murmu University of Jhargram( formerly Jhargram University),West Bengal
Kanyashree University,West Bengal
Hindi University,West Bengal
Alipurduar University,West Bengal
Harichand Guruchand University,West Bengal
Dakshin Dinajpur University,West Bengal
Kalyani University,West Bengal
Netaji Shubhash Open University,West Bengal
University of Gour Banga,West Bengal
Jadavpur University,West Bengal
Burdwan University,West Bengal
Calcutta University,West Bengal
Bidhan Chandra Krishi Vishwavidyalaya,West Bengal
Aliah University,West Bengal
University of North Bengal,West Bengal
Rabindra Bharati University,West Bengal
Presidency University,West Bengal
Sidho-Kanho-Birsha University,West Bengal
West Bengal State University,West Bengal
Maulana Abul Kalam Azad University of Technology,West Bengal
West Bengal University of Animal and Fishery Sciences,West Bengal
Vidya Sagar University,West Bengal
Uttar Banga Krishi Vishwavidyalaya,West Bengal
The West Bengal University of Health Sciences,West Bengal
The West Bengal National University of Juridical Science,West Bengal
The Bengal Engineering & Science University,West Bengal
Kazi Nazrul University,West Bengal
